fight_id,fighter_id,fighter_name,fighter_status,kd,n_pass,n_sub,sig_str_abs,sig_str_att,sig_str_def,sig_str_land,total_str_abs,total_str_att,total_str_def,total_str_land,td_abs,td_att,td_def,td_land,head_abs,head_att,head_def,head_land,body_abs,body_att,body_def,body_land,leg_abs,leg_att,leg_def,leg_land,distance_abs,distance_att,distance_def,distance_land,clinch_abs,clinch_att,clinch_def,clinch_land,ground_abs,ground_att,ground_def,ground_land
979269d4ab5784af,"['1e7483dbff40b84b', '494b0bfdbac74502']","['Vik Grujic', ""Brendan O'Reilly""]","['L', 'W']","[0, 0]","[0, 0]","[1, 1]","[42, 59]","[106, 85]","[43, 47]","[59, 42]","[83, 103]","[156, 127]","[44, 53]","[103, 83]","[6, 1]","[3, 10]","[4, 2]","[1, 6]","[23, 42]","[89, 59]","[36, 47]","[42, 23]","[15, 15]","[15, 22]","[7, 0]","[15, 15]","[4, 2]","[2, 4]","[0, 0]","[2, 4]","[11, 18]","[40, 30]","[19, 22]","[18, 11]","[27, 41]","[66, 51]","[24, 25]","[41, 27]","[4, 0]","[0, 4]","[0, 0]","[0, 4]"
d1c4c06780cbd36e,"['26b63bc5c0c1f65d', '05b43e0ead3df345']","['Alex Chambers', 'Kailin Curran']","['W', 'L']","[0, 0]","[0, 0]","[2, 0]","[81, 44]","[109, 190]","[109, 65]","[44, 81]","[123, 53]","[121, 239]","[116, 68]","[53, 123]","[2, 2]","[5, 4]","[2, 3]","[2, 2]","[50, 18]","[63, 146]","[96, 45]","[18, 50]","[13, 14]","[21, 22]","[9, 7]","[14, 13]","[18, 12]","[25, 22]","[4, 13]","[12, 18]","[54, 34]","[88, 140]","[86, 54]","[34, 54]","[18, 10]","[21, 37]","[19, 11]","[10, 18]","[9, 0]","[0, 13]","[4, 0]","[0, 9]"
8a39075a9ffaa971,"['00debc804e2b1cd4', '34e552520a934063']","['Dylan Andrews', 'Brad Scott']","['L', 'W']","[2, 0]","[0, 1]","[1, 1]","[42, 25]","[56, 75]","[33, 31]","[25, 42]","[64, 32]","[63, 100]","[36, 31]","[32, 64]","[1, 1]","[2, 4]","[3, 1]","[1, 1]","[35, 10]","[36, 66]","[31, 26]","[10, 35]","[7, 11]","[14, 9]","[2, 3]","[11, 7]","[0, 4]","[6, 0]","[0, 2]","[4, 0]","[17, 11]","[37, 40]","[23, 26]","[11, 17]","[17, 12]","[17, 26]","[9, 5]","[12, 17]","[8, 2]","[2, 9]","[1, 0]","[2, 8]"
e4549c57faca7a64,"['907e60fd13407e1e', '77350fd0e6d1dba8']","['Bec Rawlings', 'Lisa Ellis']","['W', 'L']","[0, 0]","[0, 0]","[1, 0]","[7, 21]","[40, 17]","[10, 19]","[21, 7]","[8, 33]","[55, 18]","[10, 22]","[33, 8]","[1, 0]","[0, 3]","[2, 0]","[0, 1]","[6, 17]","[35, 14]","[8, 18]","[17, 6]","[1, 4]","[5, 3]","[2, 1]","[4, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 4]","[14, 9]","[7, 10]","[4, 2]","[3, 10]","[15, 6]","[3, 5]","[10, 3]","[2, 7]","[11, 2]","[0, 4]","[7, 2]"
f208b79b0d78045b,"['bdcbb976816fd256', 'd156513a19acf856']","['Daniel Kelly', 'Sam Alvey']","['L', 'W']","[0, 1]","[0, 0]","[0, 0]","[8, 2]","[8, 13]","[5, 6]","[2, 8]","[8, 2]","[8, 13]","[5, 6]","[2, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 1]","[7, 13]","[5, 6]","[1, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 1]","[1, 0]","[0, 0]","[1, 0]","[6, 2]","[8, 11]","[5, 6]","[2, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 0]","[0, 2]","[0, 0]","[0, 2]"
43baf5b905686ebf,"['7339d340aa2889cb', 'f40ec51dd4de47c3']","['Kyle Noke', 'Jonavin Webb']","['W', 'L']","[0, 1]","[1, 0]","[0, 2]","[23, 31]","[82, 67]","[44, 51]","[31, 23]","[33, 44]","[98, 80]","[47, 54]","[44, 33]","[2, 0]","[0, 8]","[6, 0]","[0, 2]","[19, 13]","[53, 56]","[37, 40]","[13, 19]","[2, 2]","[2, 6]","[4, 0]","[2, 2]","[2, 16]","[27, 5]","[3, 11]","[16, 2]","[18, 22]","[62, 56]","[38, 40]","[22, 18]","[3, 0]","[0, 7]","[4, 0]","[0, 3]","[2, 9]","[20, 4]","[2, 11]","[9, 2]"
4f722e80eadb6d2f,"['ef7fa30364cbe7f2', '193b9d1858bc4df3']","['Hatsu Hioki', 'Dan Hooker']","['L', 'W']","[0, 1]","[0, 1]","[0, 0]","[21, 32]","[92, 61]","[40, 60]","[32, 21]","[34, 38]","[98, 74]","[40, 60]","[38, 34]","[0, 2]","[5, 0]","[0, 3]","[2, 0]","[18, 23]","[70, 49]","[31, 47]","[23, 18]","[1, 8]","[21, 4]","[3, 13]","[8, 1]","[2, 1]","[1, 8]","[6, 0]","[1, 2]","[17, 32]","[92, 55]","[38, 60]","[32, 17]","[2, 0]","[0, 3]","[1, 0]","[0, 2]","[2, 0]","[0, 3]","[1, 0]","[0, 2]"
418b6f692abe9e35,"['a845f0735bc67405', '6256b2b1562cb8e1']","['Jake Matthews', 'James Vick']","['L', 'W']","[0, 0]","[0, 0]","[0, 1]","[10, 4]","[28, 26]","[16, 24]","[4, 10]","[19, 4]","[28, 35]","[16, 24]","[4, 19]","[0, 1]","[2, 1]","[1, 1]","[1, 0]","[5, 4]","[25, 17]","[12, 21]","[4, 5]","[2, 0]","[3, 4]","[2, 3]","[0, 2]","[3, 0]","[0, 5]","[2, 0]","[0, 3]","[8, 4]","[28, 24]","[16, 24]","[4, 8]","[2, 0]","[0, 2]","[0, 0]","[0, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
0fa31c9f7495810b,"['4b4753d19489297f', 'cb52f9490c2dc069']","['Anthony Perosh', ""Sean O'Connell""]","['L', 'W']","[0, 0]","[0, 0]","[0, 0]","[20, 3]","[5, 38]","[18, 2]","[3, 20]","[20, 3]","[5, 38]","[18, 2]","[3, 20]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[18, 3]","[5, 33]","[15, 2]","[3, 18]","[1, 0]","[0, 4]","[3, 0]","[0, 1]","[1, 0]","[0, 1]","[0, 0]","[0, 1]","[9, 3]","[5, 21]","[12, 2]","[3, 9]","[11, 0]","[0, 17]","[6, 0]","[0, 11]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
7ec24848cac6c5a1,"['0c6d9ea8306c029e', 'e1147d3d2dabe1ce']","['Brad Tavares', 'Robert Whittaker']","['L', 'W']","[0, 1]","[0, 0]","[0, 0]","[10, 2]","[7, 14]","[4, 5]","[2, 10]","[10, 2]","[7, 14]","[4, 5]","[2, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 0]","[5, 12]","[3, 5]","[0, 9]","[0, 0]","[0, 1]","[1, 0]","[0, 0]","[1, 2]","[2, 1]","[0, 0]","[2, 1]","[7, 2]","[7, 11]","[4, 5]","[2, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 0]","[0, 3]","[0, 0]","[0, 3]"
